Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID,Hospitals24h,TotalLabs24h,NonHospitals24h,Positive24h,PosR24h,ConfirmedCovidCases,TotalConfirmedCovidCases,Pos24h-ConfCovCases
2020/06/08 11:00:00+00,133472,365468,231996,28216,7.7,1960,18540,190,1,83,1211,1960,749,9,0.5,9,25207,0
2020/06/09 11:00:00+00,135322,367823,232501,28235,7.7,2355,19068,185,1,84,1850,2355,505,19,0.8,9,25215,10
2020/06/10 11:00:00+00,137540,370498,232958,28254,7.6,2675,19257,164,0.9,85,2218,2675,457,19,0.7,19,25231,0
2020/06/11 11:00:00+00,139793,374738,234945,28283,7.5,4240,20398,160,0.8,86,2253,4240,1987,29,0.7,8,25238,21
2020/06/12 11:00:00+00,141611,377747,236136,28327,7.5,3009,20173,168,0.8,87,1818,3009,1191,44,1.5,13,25250,31
2020/06/13 11:00:00+00,143295,380459,237164,28343,7.4,2712,19779,157,0.8,88,1684,2712,1028,16,0.6,46,25295,-30
2020/06/14 11:00:00+00,144634,382971,238337,28356,7.4,2512,19463,149,0.8,89,1339,2512,1173,13,0.5,8,25303,5
2020/06/15 11:00:00+00,145722,384685,238963,28377,7.4,1714,19217,161,0.8,90,1088,1714,626,21,1.2,18,25321,3
2020/06/16 11:00:00+00,147610,386797,239187,28382,7.3,2112,18974,147,0.8,91,1888,2112,224,5,0.2,14,25334,-9
2020/06/17 11:00:00+00,149898,390217,240319,28404,7.3,3420,19719,150,0.8,92,2288,3420,1132,22,0.6,8,25341,14
2020/06/18 11:00:00+00,151964,393576,241612,28417,7.2,3359,18838,134,0.7,93,2066,3359,1293,13,0.4,16,25355,-3
2020/06/19 11:00:00+00,154043,396737,242694,28446,7.2,3161,18990,119,0.6,94,2079,3161,1082,29,0.9,13,25368,16
2020/06/20 11:00:00+00,155659,399461,243802,28460,7.1,2724,19002,117,0.6,95,1616,2724,1108,14,0.5,22,25374,-8
2020/06/21 11:00:00+00,156959,401620,244661,28469,7.1,2159,18649,113,0.6,96,1300,2159,859,9,0.4,6,25379,3
2020/06/22 11:00:00+00,158097,403118,245021,28475,7.1,1498,18433,98,0.5,97,1138,1498,360,6,0.4,4,25383,2
2020/06/23 11:00:00+00,160078,405234,245156,28481,7,2116,18437,99,0.5,98,1981,2116,135,6,0.3,10,25391,-4
2020/06/24 11:00:00+00,162300,408486,246186,28503,7,3252,18269,99,0.5,99,2222,3252,1030,22,0.7,5,25396,17
2020/06/25 11:00:00+00,164475,411469,246994,28515,6.9,2983,17893,98,0.5,100,2175,2983,808,12,0.4,11,25405,1
2020/06/26 11:00:00+00,166261,415158,248897,28552,6.9,3689,18421,106,0.6,101,1786,3689,1903,37,1,11,25414,26
2020/06/27 11:00:00+00,168054,419165,251111,28556,6.8,4007,19704,96,0.5,102,1793,4007,2214,4,0.1,23,25437,-19
2020/06/28 11:00:00+00,169394,421889,252495,28560,6.8,2724,20269,91,0.4,103,1340,2724,1384,4,0.1,3,25439,1
2020/06/29 11:00:00+00,170577,425229,254652,28588,6.7,3340,22111,113,0.5,104,1183,3340,2157,28,0.8,24,25462,4
2020/06/30 11:00:00+00,172717,429820,257103,28595,6.7,4591,24586,114,0.5,105,2140,4591,2451,7,0.2,11,25473,-4
2020/07/01 11:00:00+00,175273,434371,259098,28617,6.6,4551,25885,114,0.4,106,2556,4551,1995,22,0.5,6,25477,16
2020/07/02 11:00:00+00,177813,438163,260350,28625,6.5,3792,26694,110,0.4,107,2540,3792,1252,8,0.2,15,25489,-7
2020/07/03 11:00:00+00,179954,446212,266258,28635,6.4,8049,31054,83,0.3,108,2141,8049,5908,10,0.1,9,25498,1
2020/07/04 11:00:00+00,182043,454524,272481,28664,6.3,8312,35359,108,0.3,109,2089,8312,6223,29,0.3,11,25509,18
2020/07/05 11:00:00+00,183576,461524,277948,28672,6.2,7000,39635,112,0.3,110,1533,7000,5467,8,0.1,18,25527,-10
2020/07/06 11:00:00+00,184957,468053,283096,28692,6.1,6529,42824,104,0.2,111,1381,6529,5148,20,0.3,4,25531,16
2020/07/07 11:00:00+00,187331,474214,286883,28703,6.1,6161,44394,108,0.2,112,2374,6161,3787,11,0.2,24,25538,-13
2020/07/08 11:00:00+00,190106,478575,288469,28723,6,4361,44204,106,0.2,113,2775,4361,1586,20,0.5,11,25542,9
2020/07/09 11:00:00+00,192807,482520,289713,28750,6,3945,44357,125,0.3,114,2701,3945,1244,27,0.7,22,25565,5
2020/07/10 11:00:00+00,194940,491850,296910,28771,5.8,9330,45638,136,0.3,115,2133,9330,7197,21,0.2,25,25589,-4
2020/07/11 11:00:00+00,196963,500779,303816,28812,5.8,8929,46255,148,0.3,116,2023,8929,6906,41,0.5,23,25611,18
2020/07/12 11:00:00+00,198501,509496,310995,28826,5.7,8717,47972,154,0.3,117,1538,8717,7179,14,0.2,17,25628,-3
2020/07/13 11:00:00+00,199803,517160,317357,28845,5.6,7664,49107,153,0.3,118,1302,7664,6362,19,0.2,11,25638,8
2020/07/14 11:00:00+00,202340,523560,321220,28860,5.5,6400,49346,157,0.3,119,2537,6400,3863,15,0.2,32,25670,-17
2020/07/15 11:00:00+00,205307,527947,322640,28877,5.5,4387,49372,154,0.3,120,2967,4387,1420,17,0.4,14,25683,3
2020/07/16 11:00:00+00,207814,532263,324449,28901,5.4,4316,49743,151,0.3,121,2507,4316,1809,24,0.6,21,25698,3
2020/07/17 11:00:00+00,210035,541775,331740,28927,5.3,9512,49925,156,0.3,122,2221,9512,7291,26,0.3,34,25730,-8
2020/07/18 11:00:00+00,212183,551018,338835,28941,5.3,9243,50239,129,0.3,123,2148,9243,7095,14,0.2,21,25750,-7
2020/07/19 11:00:00+00,213795,559648,345853,28954,5.2,8630,50152,128,0.3,124,1612,8630,7018,13,0.2,9,25760,4
2020/07/20 11:00:00+00,215141,568063,352922,28985,5.1,8415,50903,140,0.3,125,1346,8415,7069,31,0.4,6,25766,25
2020/07/21 11:00:00+00,217649,574737,357088,28998,5,6674,51177,138,0.3,126,2508,6674,4166,13,0.2,36,25802,-23
2020/07/22 11:00:00+00,220464,579356,358892,29016,5,4619,51409,139,0.3,127,2815,4619,1804,18,0.4,17,25819,1
2020/07/23 11:00:00+00,222991,583423,360432,29028,5,4067,51160,127,0.2,128,2527,4067,1540,12,0.3,7,25826,5
2020/07/24 11:00:00+00,225180,592403,367223,29044,4.9,8980,50628,117,0.2,129,2189,8980,6791,16,0.2,20,25845,-4
2020/07/25 11:00:00+00,227351,601291,373940,29075,4.8,8888,50273,134,0.3,130,2171,8888,6717,31,0.3,24,25869,7
2020/07/26 11:00:00+00,228917,609307,380390,29099,4.8,8016,49659,145,0.3,131,1566,8016,6450,24,0.3,12,25881,12
2020/07/27 11:00:00+00,230354,615111,384757,29129,4.7,5804,47048,144,0.3,132,1437,5804,4367,30,0.5,11,25892,19
